"ID","step","angle","x","y","doy","tod","timestamp"
"Animal1",0.196899720395348,1.28147554917483,-4.87565,6.870044,263,8,"2018-09-20 14:00:37.000"
"Animal1",0.409336454983019,0.647959624198689,-4.874083,6.870891,263,9,"2018-09-20 16:00:55.000"
"Animal1",0.442119395993619,0.0767012716689079,-4.872549,6.87426,263,10,"2018-09-20 18:01:00.000"
"Animal1",1.02712142538812,0.742412777090315,-4.871176,6.878015,263,11,"2018-09-20 20:00:56.000"
"Animal1",0.197226788339452,1.37855618377509,-4.874727,6.886598,263,12,"2018-09-20 22:00:34.000"
"Animal1",0.0106675660251554,-0.0959661213838428,-4.876476,6.886244,264,1,"2018-09-21 00:01:32.000"
"Animal1",0.301586169513243,-0.265913092097259,-4.876572,6.886234,264,2,"2018-09-21 02:01:38.000"
"Animal1",0.978429929644942,1.12526057765516,-4.879265,6.886674,264,3,"2018-09-21 04:01:06.000"
"Animal1",0.885539137380208,0.637052165347357,-4.884319,6.87941,264,4,"2018-09-21 06:00:36.000"
"Animal1",0.389369022636598,-1.81230639462798,-4.884083,6.871406,264,5,"2018-09-21 08:01:30.000"
"Animal1",0.0575042194568874,-1.11017648696617,-4.887527,6.872147,264,6,"2018-09-21 10:00:38.000"
"Animal1",0.752005473153087,-2.1907837557747,-4.887655,6.872651,264,7,"2018-09-21 12:01:00.000"
"Animal1",0.705497276662876,1.31949781663125,-4.881315,6.870183,264,8,"2018-09-21 14:01:30.000"
"Animal1",0.590719470605115,-1.65122887593423,-4.877592,6.875365,264,9,"2018-09-21 16:01:06.000"
"Animal1",1.28169921469048,-0.75174734221964,-4.873515,6.871911,264,10,"2018-09-21 18:02:30.000"
